ForecastID,ConfirmedCases,Region,Date
125,90,Akita,2020/12/19
126,90,Akita,2020/12/20
127,90,Akita,2020/12/21
128,90,Akita,2020/12/22
129,90,Akita,2020/12/23
130,90,Akita,2020/12/24
131,90,Akita,2020/12/25
132,90,Akita,2020/12/26
133,90,Akita,2020/12/27
134,90,Akita,2020/12/28
135,90,Akita,2020/12/29
136,90,Akita,2020/12/30
137,90,Akita,2020/12/31
138,90,Akita,2021/1/1
139,90,Akita,2021/1/2
140,90,Akita,2021/1/3
141,185,Yamagata,2020/12/7
142,194,Yamagata,2020/12/8
143,205,Yamagata,2020/12/9
144,217,Yamagata,2020/12/10
145,229,Yamagata,2020/12/11
146,239,Yamagata,2020/12/12
147,250,Yamagata,2020/12/13
148,262,Yamagata,2020/12/14
149,273,Yamagata,2020/12/15
150,284,Yamagata,2020/12/16
151,296,Yamagata,2020/12/17
152,307,Yamagata,2020/12/18
153,318,Yamagata,2020/12/19
154,330,Yamagata,2020/12/20
155,341,Yamagata,2020/12/21
156,352,Yamagata,2020/12/22
157,363,Yamagata,2020/12/23
158,375,Yamagata,2020/12/24
159,386,Yamagata,2020/12/25
160,397,Yamagata,2020/12/26
161,408,Yamagata,2020/12/27
162,420,Yamagata,2020/12/28
163,431,Yamagata,2020/12/29
164,442,Yamagata,2020/12/30
165,454,Yamagata,2020/12/31
166,465,Yamagata,2021/1/1
167,476,Yamagata,2021/1/2
168,487,Yamagata,2021/1/3
169,545,Hukushima,2020/12/7
170,554,Hukushima,2020/12/8
171,560,Hukushima,2020/12/9
172,568,Hukushima,2020/12/10
173,577,Hukushima,2020/12/11
174,584,Hukushima,2020/12/12
175,592,Hukushima,2020/12/13
176,599,Hukushima,2020/12/14
177,608,Hukushima,2020/12/15
178,615,Hukushima,2020/12/16
179,623,Hukushima,2020/12/17
180,631,Hukushima,2020/12/18
181,638,Hukushima,2020/12/19
182,646,Hukushima,2020/12/20
183,654,Hukushima,2020/12/21
184,662,Hukushima,2020/12/22
185,669,Hukushima,2020/12/23
186,677,Hukushima,2020/12/24
187,685,Hukushima,2020/12/25
188,693,Hukushima,2020/12/26
189,700,Hukushima,2020/12/27
190,708,Hukushima,2020/12/28
191,716,Hukushima,2020/12/29
192,724,Hukushima,2020/12/30
193,731,Hukushima,2020/12/31
194,739,Hukushima,2021/1/1
195,747,Hukushima,2021/1/2
196,755,Hukushima,2021/1/3
197,1895,Ibaraki,2020/12/7
198,1936,Ibaraki,2020/12/8
199,1978,Ibaraki,2020/12/9
200,2030,Ibaraki,2020/12/10
201,2068,Ibaraki,2020/12/11
202,2113,Ibaraki,2020/12/12
203,2163,Ibaraki,2020/12/13
204,2204,Ibaraki,2020/12/14
205,2250,Ibaraki,2020/12/15
206,2296,Ibaraki,2020/12/16
207,2339,Ibaraki,2020/12/17
208,2385,Ibaraki,2020/12/18
209,2430,Ibaraki,2020/12/19
210,2474,Ibaraki,2020/12/20
211,2520,Ibaraki,2020/12/21
212,2565,Ibaraki,2020/12/22
213,2609,Ibaraki,2020/12/23
214,2655,Ibaraki,2020/12/24
215,2699,Ibaraki,2020/12/25
216,2744,Ibaraki,2020/12/26
217,2789,Ibaraki,2020/12/27
218,2834,Ibaraki,2020/12/28
219,2879,Ibaraki,2020/12/29
220,2924,Ibaraki,2020/12/30
221,2969,Ibaraki,2020/12/31
222,3014,Ibaraki,2021/1/1
223,3059,Ibaraki,2021/1/2
224,3104,Ibaraki,2021/1/3
225,766,Tochigi,2020/12/7
226,780,Tochigi,2020/12/8
227,797,Tochigi,2020/12/9
228,813,Tochigi,2020/12/10
229,828,Tochigi,2020/12/11
230,844,Tochigi,2020/12/12
231,860,Tochigi,2020/12/13
232,876,Tochigi,2020/12/14
233,892,Tochigi,2020/12/15
234,908,Tochigi,2020/12/16
235,924,Tochigi,2020/12/17
236,939,Tochigi,2020/12/18
237,955,Tochigi,2020/12/19
238,971,Tochigi,2020/12/20
239,987,Tochigi,2020/12/21
240,1003,Tochigi,2020/12/22
241,1019,Tochigi,2020/12/23
242,1035,Tochigi,2020/12/24
243,1050,Tochigi,2020/12/25
244,1066,Tochigi,2020/12/26
245,1082,Tochigi,2020/12/27
246,1098,Tochigi,2020/12/28
247,1114,Tochigi,2020/12/29
248,1130,Tochigi,2020/12/30
249,1146,Tochigi,2020/12/31
250,1161,Tochigi,2021/1/1
251,1177,Tochigi,2021/1/2
252,1193,Tochigi,2021/1/3
253,1412,Gunma,2020/12/7
254,1442,Gunma,2020/12/8
255,1469,Gunma,2020/12/9
256,1497,Gunma,2020/12/10
257,1525,Gunma,2020/12/11
258,1548,Gunma,2020/12/12
259,1574,Gunma,2020/12/13
260,1601,Gunma,2020/12/14
261,1628,Gunma,2020/12/15
262,1655,Gunma,2020/12/16
263,1682,Gunma,2020/12/17
264,1707,Gunma,2020/12/18
265,1734,Gunma,2020/12/19
266,1760,Gunma,2020/12/20
267,1787,Gunma,2020/12/21
268,1813,Gunma,2020/12/22
269,1840,Gunma,2020/12/23
270,1866,Gunma,2020/12/24
271,1893,Gunma,2020/12/25
272,1919,Gunma,2020/12/26
273,1946,Gunma,2020/12/27
274,1972,Gunma,2020/12/28
275,1998,Gunma,2020/12/29
276,2025,Gunma,2020/12/30
277,2051,Gunma,2020/12/31
278,2078,Gunma,2021/1/1
279,2104,Gunma,2021/1/2
280,2131,Gunma,2021/1/3
281,9469,Saitama,2020/12/7
282,9621,Saitama,2020/12/8
283,9780,Saitama,2020/12/9
284,9942,Saitama,2020/12/10
285,10106,Saitama,2020/12/11
286,10273,Saitama,2020/12/12
287,10443,Saitama,2020/12/13
288,10617,Saitama,2020/12/14
289,10793,Saitama,2020/12/15
290,10972,Saitama,2020/12/16
291,11154,Saitama,2020/12/17
292,11339,Saitama,2020/12/18
293,11528,Saitama,2020/12/19
294,11719,Saitama,2020/12/20
295,11913,Saitama,2020/12/21
296,12110,Saitama,2020/12/22
297,12311,Saitama,2020/12/23
298,12514,Saitama,2020/12/24
299,12720,Saitama,2020/12/25
300,12929,Saitama,2020/12/26
301,13141,Saitama,2020/12/27
302,13357,Saitama,2020/12/28
303,13575,Saitama,2020/12/29
304,13796,Saitama,2020/12/30
305,14020,Saitama,2020/12/31
306,14247,Saitama,2021/1/1
307,14478,Saitama,2021/1/2
308,14711,Saitama,2021/1/3
309,7531,Chiba,2020/12/7
310,7615,Chiba,2020/12/8
311,7701,Chiba,2020/12/9
312,7787,Chiba,2020/12/10
313,7872,Chiba,2020/12/11
314,7958,Chiba,2020/12/12
315,8045,Chiba,2020/12/13
316,8135,Chiba,2020/12/14
317,8227,Chiba,2020/12/15
318,8320,Chiba,2020/12/16
319,8415,Chiba,2020/12/17
320,8509,Chiba,2020/12/18
321,8605,Chiba,2020/12/19
322,8702,Chiba,2020/12/20
323,8801,Chiba,2020/12/21
324,8901,Chiba,2020/12/22
325,9003,Chiba,2020/12/23
326,9106,Chiba,2020/12/24
327,9210,Chiba,2020/12/25
328,9315,Chiba,2020/12/26
329,9422,Chiba,2020/12/27
330,9530,Chiba,2020/12/28
331,9639,Chiba,2020/12/29
332,9750,Chiba,2020/12/30
333,9862,Chiba,2020/12/31
334,9975,Chiba,2021/1/1
335,10089,Chiba,2021/1/2
336,10205,Chiba,2021/1/3
337,44070,Tokyo,2020/12/7
338,44427,Tokyo,2020/12/8
339,44783,Tokyo,2020/12/9
340,45140,Tokyo,2020/12/10
341,45497,Tokyo,2020/12/11
342,45854,Tokyo,2020/12/12
343,46211,Tokyo,2020/12/13
344,46567,Tokyo,2020/12/14
345,46924,Tokyo,2020/12/15
346,47281,Tokyo,2020/12/16
347,47638,Tokyo,2020/12/17
348,47994,Tokyo,2020/12/18
349,48351,Tokyo,2020/12/19
350,48708,Tokyo,2020/12/20
351,49065,Tokyo,2020/12/21
352,49422,Tokyo,2020/12/22
353,49778,Tokyo,2020/12/23
354,50135,Tokyo,2020/12/24
355,50492,Tokyo,2020/12/25
356,50849,Tokyo,2020/12/26
357,51206,Tokyo,2020/12/27
358,51562,Tokyo,2020/12/28
359,51919,Tokyo,2020/12/29
360,52276,Tokyo,2020/12/30
361,52633,Tokyo,2020/12/31
362,52989,Tokyo,2021/1/1
363,53346,Tokyo,2021/1/2
364,53703,Tokyo,2021/1/3
365,13776,Kanagawa,2020/12/7
366,13941,Kanagawa,2020/12/8
367,14121,Kanagawa,2020/12/9
368,14311,Kanagawa,2020/12/10
369,14496,Kanagawa,2020/12/11
370,14662,Kanagawa,2020/12/12
371,14818,Kanagawa,2020/12/13
372,14976,Kanagawa,2020/12/14
373,15142,Kanagawa,2020/12/15
374,15318,Kanagawa,2020/12/16
375,15497,Kanagawa,2020/12/17
376,15672,Kanagawa,2020/12/18
377,15839,Kanagawa,2020/12/19
378,16003,Kanagawa,2020/12/20
379,16167,Kanagawa,2020/12/21
380,16336,Kanagawa,2020/12/22
381,16509,Kanagawa,2020/12/23
382,16682,Kanagawa,2020/12/24
383,16854,Kanagawa,2020/12/25
384,17022,Kanagawa,2020/12/26
385,17189,Kanagawa,2020/12/27
386,17356,Kanagawa,2020/12/28
387,17526,Kanagawa,2020/12/29
388,17697,Kanagawa,2020/12/30
389,17868,Kanagawa,2020/12/31
390,18038,Kanagawa,2021/1/1
391,18207,Kanagawa,2021/1/2
392,18375,Kanagawa,2021/1/3
393,360,Nigata,2020/12/7
394,364,Nigata,2020/12/8
395,367,Nigata,2020/12/9
396,370,Nigata,2020/12/10
397,373,Nigata,2020/12/11
398,377,Nigata,2020/12/12
399,380,Nigata,2020/12/13
400,383,Nigata,2020/12/14
401,386,Nigata,2020/12/15
402,390,Nigata,2020/12/16
403,393,Nigata,2020/12/17
404,396,Nigata,2020/12/18
405,399,Nigata,2020/12/19
406,402,Nigata,2020/12/20
407,406,Nigata,2020/12/21
408,409,Nigata,2020/12/22
409,412,Nigata,2020/12/23
410,415,Nigata,2020/12/24
411,419,Nigata,2020/12/25
412,422,Nigata,2020/12/26
413,425,Nigata,2020/12/27
414,428,Nigata,2020/12/28
415,432,Nigata,2020/12/29
416,435,Nigata,2020/12/30
417,438,Nigata,2020/12/31
418,441,Nigata,2021/1/1
419,444,Nigata,2021/1/2
420,448,Nigata,2021/1/3
421,462,Toyama,2020/12/7
422,462,Toyama,2020/12/8
423,463,Toyama,2020/12/9
424,463,Toyama,2020/12/10
425,463,Toyama,2020/12/11
426,463,Toyama,2020/12/12
427,463,Toyama,2020/12/13
428,464,Toyama,2020/12/14
429,464,Toyama,2020/12/15
430,464,Toyama,2020/12/16
431,464,Toyama,2020/12/17
432,464,Toyama,2020/12/18
433,465,Toyama,2020/12/19
434,465,Toyama,2020/12/20
435,465,Toyama,2020/12/21
436,465,Toyama,2020/12/22
437,465,Toyama,2020/12/23
438,466,Toyama,2020/12/24
439,466,Toyama,2020/12/25
440,466,Toyama,2020/12/26
441,466,Toyama,2020/12/27
442,466,Toyama,2020/12/28
443,467,Toyama,2020/12/29
444,467,Toyama,2020/12/30
445,467,Toyama,2020/12/31
446,467,Toyama,2021/1/1
447,468,Toyama,2021/1/2
448,468,Toyama,2021/1/3
449,875,Ishikawa,2020/12/7
450,877,Ishikawa,2020/12/8
451,879,Ishikawa,2020/12/9
452,882,Ishikawa,2020/12/10
453,886,Ishikawa,2020/12/11
454,889,Ishikawa,2020/12/12
455,891,Ishikawa,2020/12/13
456,893,Ishikawa,2020/12/14
457,897,Ishikawa,2020/12/15
458,900,Ishikawa,2020/12/16
459,903,Ishikawa,2020/12/17
460,905,Ishikawa,2020/12/18
461,908,Ishikawa,2020/12/19
462,911,Ishikawa,2020/12/20
463,914,Ishikawa,2020/12/21
464,917,Ishikawa,2020/12/22
465,920,Ishikawa,2020/12/23
466,922,Ishikawa,2020/12/24
467,925,Ishikawa,2020/12/25
468,928,Ishikawa,2020/12/26
469,931,Ishikawa,2020/12/27
470,934,Ishikawa,2020/12/28
471,937,Ishikawa,2020/12/29
472,940,Ishikawa,2020/12/30
473,943,Ishikawa,2020/12/31
474,946,Ishikawa,2021/1/1
475,948,Ishikawa,2021/1/2
476,951,Ishikawa,2021/1/3
477,321,Hukui,2020/12/7
478,322,Hukui,2020/12/8
479,322,Hukui,2020/12/9
480,322,Hukui,2020/12/10
481,322,Hukui,2020/12/11
482,323,Hukui,2020/12/12
483,323,Hukui,2020/12/13
484,323,Hukui,2020/12/14
485,324,Hukui,2020/12/15
486,324,Hukui,2020/12/16
487,324,Hukui,2020/12/17
488,324,Hukui,2020/12/18
489,325,Hukui,2020/12/19
490,325,Hukui,2020/12/20
491,325,Hukui,2020/12/21
492,326,Hukui,2020/12/22
493,326,Hukui,2020/12/23
494,326,Hukui,2020/12/24
495,326,Hukui,2020/12/25
496,327,Hukui,2020/12/26
497,327,Hukui,2020/12/27
498,327,Hukui,2020/12/28
499,327,Hukui,2020/12/29
500,328,Hukui,2020/12/30
501,328,Hukui,2020/12/31
502,328,Hukui,2021/1/1
503,329,Hukui,2021/1/2
504,329,Hukui,2021/1/3
505,438,Yamanashi,2020/12/7
506,449,Yamanashi,2020/12/8
507,463,Yamanashi,2020/12/9
508,475,Yamanashi,2020/12/10
509,488,Yamanashi,2020/12/11
510,502,Yamanashi,2020/12/12
511,514,Yamanashi,2020/12/13
512,528,Yamanashi,2020/12/14
513,540,Yamanashi,2020/12/15
514,554,Yamanashi,2020/12/16
515,566,Yamanashi,2020/12/17
516,579,Yamanashi,2020/12/18
517,592,Yamanashi,2020/12/19
518,605,Yamanashi,2020/12/20
519,618,Yamanashi,2020/12/21
520,631,Yamanashi,2020/12/22
521,644,Yamanashi,2020/12/23
522,657,Yamanashi,2020/12/24
523,670,Yamanashi,2020/12/25
524,683,Yamanashi,2020/12/26
525,696,Yamanashi,2020/12/27
526,709,Yamanashi,2020/12/28
527,722,Yamanashi,2020/12/29
528,735,Yamanashi,2020/12/30
529,748,Yamanashi,2020/12/31
530,761,Yamanashi,2021/1/1
531,774,Yamanashi,2021/1/2
532,787,Yamanashi,2021/1/3
533,817,Nagano,2020/12/7
534,832,Nagano,2020/12/8
535,846,Nagano,2020/12/9
536,861,Nagano,2020/12/10
537,875,Nagano,2020/12/11
538,890,Nagano,2020/12/12
539,904,Nagano,2020/12/13
540,919,Nagano,2020/12/14
541,933,Nagano,2020/12/15
542,948,Nagano,2020/12/16
543,962,Nagano,2020/12/17
544,977,Nagano,2020/12/18
545,991,Nagano,2020/12/19
546,1006,Nagano,2020/12/20
547,1020,Nagano,2020/12/21
548,1035,Nagano,2020/12/22
549,1049,Nagano,2020/12/23
550,1064,Nagano,2020/12/24
551,1078,Nagano,2020/12/25
552,1093,Nagano,2020/12/26
553,1107,Nagano,2020/12/27
554,1122,Nagano,2020/12/28
555,1136,Nagano,2020/12/29
556,1151,Nagano,2020/12/30
557,1166,Nagano,2020/12/31
558,1180,Nagano,2021/1/1
559,1195,Nagano,2021/1/2
560,1209,Nagano,2021/1/3
561,1271,Gifu,2020/12/7
562,1297,Gifu,2020/12/8
563,1330,Gifu,2020/12/9
564,1359,Gifu,2020/12/10
565,1387,Gifu,2020/12/11
566,1412,Gifu,2020/12/12
567,1439,Gifu,2020/12/13
568,1467,Gifu,2020/12/14
569,1496,Gifu,2020/12/15
570,1524,Gifu,2020/12/16
571,1552,Gifu,2020/12/17
572,1579,Gifu,2020/12/18
573,1607,Gifu,2020/12/19
574,1635,Gifu,2020/12/20
575,1663,Gifu,2020/12/21
576,1691,Gifu,2020/12/22
577,1718,Gifu,2020/12/23
578,1746,Gifu,2020/12/24
579,1774,Gifu,2020/12/25
580,1802,Gifu,2020/12/26
581,1830,Gifu,2020/12/27
582,1857,Gifu,2020/12/28
583,1885,Gifu,2020/12/29
584,1913,Gifu,2020/12/30
585,1941,Gifu,2020/12/31
586,1968,Gifu,2021/1/1
587,1996,Gifu,2021/1/2
588,2024,Gifu,2021/1/3
589,1991,Shizuoka,2020/12/7
590,2035,Shizuoka,2020/12/8
591,2077,Shizuoka,2020/12/9
592,2118,Shizuoka,2020/12/10
593,2160,Shizuoka,2020/12/11
594,2202,Shizuoka,2020/12/12
595,2244,Shizuoka,2020/12/13
596,2286,Shizuoka,2020/12/14
597,2328,Shizuoka,2020/12/15
598,2370,Shizuoka,2020/12/16
599,2412,Shizuoka,2020/12/17
600,2455,Shizuoka,2020/12/18
601,2497,Shizuoka,2020/12/19
602,2539,Shizuoka,2020/12/20
603,2581,Shizuoka,2020/12/21
604,2623,Shizuoka,2020/12/22
605,2665,Shizuoka,2020/12/23
606,2707,Shizuoka,2020/12/24
607,2749,Shizuoka,2020/12/25
608,2791,Shizuoka,2020/12/26
609,2833,Shizuoka,2020/12/27
610,2875,Shizuoka,2020/12/28
611,2917,Shizuoka,2020/12/29
612,2959,Shizuoka,2020/12/30
613,3001,Shizuoka,2020/12/31
614,3043,Shizuoka,2021/1/1
615,3085,Shizuoka,2021/1/2
616,3127,Shizuoka,2021/1/3
617,11484,Aichi,2020/12/7
618,11701,Aichi,2020/12/8
619,11945,Aichi,2020/12/9
620,12189,Aichi,2020/12/10
621,12428,Aichi,2020/12/11
622,12659,Aichi,2020/12/12
623,12893,Aichi,2020/12/13
624,13135,Aichi,2020/12/14
625,13389,Aichi,2020/12/15
626,13648,Aichi,2020/12/16
627,13910,Aichi,2020/12/17
628,14173,Aichi,2020/12/18
629,14437,Aichi,2020/12/19
630,14707,Aichi,2020/12/20
631,14982,Aichi,2020/12/21
632,15263,Aichi,2020/12/22
633,15548,Aichi,2020/12/23
634,15836,Aichi,2020/12/24
635,16128,Aichi,2020/12/25
636,16423,Aichi,2020/12/26
637,16723,Aichi,2020/12/27
638,17028,Aichi,2020/12/28
639,17336,Aichi,2020/12/29
640,17649,Aichi,2020/12/30
641,17966,Aichi,2020/12/31
642,18287,Aichi,2021/1/1
643,18612,Aichi,2021/1/2
644,18941,Aichi,2021/1/3
645,962,Mie,2020/12/7
646,978,Mie,2020/12/8
647,995,Mie,2020/12/9
648,1011,Mie,2020/12/10
649,1025,Mie,2020/12/11
650,1039,Mie,2020/12/12
651,1053,Mie,2020/12/13
652,1069,Mie,2020/12/14
653,1084,Mie,2020/12/15
654,1099,Mie,2020/12/16
655,1114,Mie,2020/12/17
656,1128,Mie,2020/12/18
657,1143,Mie,2020/12/19
658,1158,Mie,2020/12/20
659,1173,Mie,2020/12/21
660,1188,Mie,2020/12/22
661,1202,Mie,2020/12/23
662,1217,Mie,2020/12/24
663,1232,Mie,2020/12/25
664,1247,Mie,2020/12/26
665,1262,Mie,2020/12/27
666,1277,Mie,2020/12/28
667,1291,Mie,2020/12/29
668,1306,Mie,2020/12/30
669,1321,Mie,2020/12/31
670,1336,Mie,2021/1/1
671,1351,Mie,2021/1/2
672,1366,Mie,2021/1/3
673,823,Shiga,2020/12/7
674,827,Shiga,2020/12/8
675,832,Shiga,2020/12/9
676,836,Shiga,2020/12/10
677,841,Shiga,2020/12/11
678,845,Shiga,2020/12/12
679,850,Shiga,2020/12/13
680,854,Shiga,2020/12/14
681,859,Shiga,2020/12/15
682,863,Shiga,2020/12/16
683,868,Shiga,2020/12/17
684,872,Shiga,2020/12/18
685,877,Shiga,2020/12/19
686,881,Shiga,2020/12/20
687,886,Shiga,2020/12/21
688,891,Shiga,2020/12/22
689,895,Shiga,2020/12/23
690,900,Shiga,2020/12/24
691,904,Shiga,2020/12/25
692,909,Shiga,2020/12/26
693,913,Shiga,2020/12/27
694,918,Shiga,2020/12/28
695,922,Shiga,2020/12/29
696,927,Shiga,2020/12/30
697,931,Shiga,2020/12/31
698,936,Shiga,2021/1/1
699,940,Shiga,2021/1/2
700,945,Shiga,2021/1/3
701,2895,Kyoto,2020/12/7
702,2933,Kyoto,2020/12/8
703,2973,Kyoto,2020/12/9
704,3013,Kyoto,2020/12/10
705,3052,Kyoto,2020/12/11
706,3091,Kyoto,2020/12/12
707,3130,Kyoto,2020/12/13
708,3170,Kyoto,2020/12/14
709,3209,Kyoto,2020/12/15
710,3248,Kyoto,2020/12/16
711,3287,Kyoto,2020/12/17
712,3327,Kyoto,2020/12/18
713,3366,Kyoto,2020/12/19
714,3405,Kyoto,2020/12/20
715,3445,Kyoto,2020/12/21
716,3484,Kyoto,2020/12/22
717,3523,Kyoto,2020/12/23
718,3562,Kyoto,2020/12/24
719,3602,Kyoto,2020/12/25
720,3641,Kyoto,2020/12/26
721,3680,Kyoto,2020/12/27
722,3720,Kyoto,2020/12/28
723,3759,Kyoto,2020/12/29
724,3798,Kyoto,2020/12/30
725,3837,Kyoto,2020/12/31
726,3877,Kyoto,2021/1/1
727,3916,Kyoto,2021/1/2
728,3955,Kyoto,2021/1/3
729,22840,Osaka,2020/12/7
730,23198,Osaka,2020/12/8
731,23560,Osaka,2020/12/9
732,23918,Osaka,2020/12/10
733,24274,Osaka,2020/12/11
734,24630,Osaka,2020/12/12
735,24987,Osaka,2020/12/13
736,25344,Osaka,2020/12/14
737,25700,Osaka,2020/12/15
738,26057,Osaka,2020/12/16
739,26413,Osaka,2020/12/17
740,26770,Osaka,2020/12/18
741,27127,Osaka,2020/12/19
742,27483,Osaka,2020/12/20
743,27840,Osaka,2020/12/21
744,28196,Osaka,2020/12/22
745,28553,Osaka,2020/12/23
746,28910,Osaka,2020/12/24
747,29266,Osaka,2020/12/25
748,29623,Osaka,2020/12/26
749,29979,Osaka,2020/12/27
750,30336,Osaka,2020/12/28
751,30692,Osaka,2020/12/29
752,31049,Osaka,2020/12/30
753,31406,Osaka,2020/12/31
754,31762,Osaka,2021/1/1
755,32119,Osaka,2021/1/2
756,32475,Osaka,2021/1/3
757,6576,Hyogo,2020/12/7
758,6718,Hyogo,2020/12/8
759,6872,Hyogo,2020/12/9
760,7033,Hyogo,2020/12/10
761,7195,Hyogo,2020/12/11
762,7354,Hyogo,2020/12/12
763,7512,Hyogo,2020/12/13
764,7674,Hyogo,2020/12/14
765,7842,Hyogo,2020/12/15
766,8017,Hyogo,2020/12/16
767,8196,Hyogo,2020/12/17
768,8377,Hyogo,2020/12/18
769,8560,Hyogo,2020/12/19
770,8744,Hyogo,2020/12/20
771,8932,Hyogo,2020/12/21
772,9124,Hyogo,2020/12/22
773,9321,Hyogo,2020/12/23
774,9521,Hyogo,2020/12/24
775,9724,Hyogo,2020/12/25
776,9930,Hyogo,2020/12/26
777,10139,Hyogo,2020/12/27
778,10351,Hyogo,2020/12/28
779,10567,Hyogo,2020/12/29
780,10786,Hyogo,2020/12/30
781,11009,Hyogo,2020/12/31
782,11235,Hyogo,2021/1/1
783,11464,Hyogo,2021/1/2
784,11696,Hyogo,2021/1/3
785,1304,Nara,2020/12/7
786,1331,Nara,2020/12/8
787,1362,Nara,2020/12/9
788,1395,Nara,2020/12/10
789,1420,Nara,2020/12/11
790,1440,Nara,2020/12/12
791,1462,Nara,2020/12/13
792,1487,Nara,2020/12/14
793,1516,Nara,2020/12/15
794,1545,Nara,2020/12/16
795,1571,Nara,2020/12/17
796,1594,Nara,2020/12/18
797,1617,Nara,2020/12/19
798,1642,Nara,2020/12/20
799,1669,Nara,2020/12/21
800,1697,Nara,2020/12/22
801,1723,Nara,2020/12/23
802,1747,Nara,2020/12/24
803,1772,Nara,2020/12/25
804,1797,Nara,2020/12/26
805,1823,Nara,2020/12/27
806,1849,Nara,2020/12/28
807,1875,Nara,2020/12/29
808,1901,Nara,2020/12/30
809,1925,Nara,2020/12/31
810,1951,Nara,2021/1/1
811,1976,Nara,2021/1/2
812,2002,Nara,2021/1/3
813,512,Wakayama,2020/12/7
814,519,Wakayama,2020/12/8
